"","n.non.miss","n.miss","n.miss.percent","n.unique","cat_1","freq_1","cat_2","freq_2","cat_3","freq_3","cat_4","freq_4","cat_5","freq_5","cat_6","freq_6","cat_7","freq_7","cat_8","freq_8","cat_9","freq_9","cat_10","freq_10"
"make",205,0,0,22,"toyota",32,"nissan",18,"mazda","17","honda","13","mitsubishi","13","subaru","12","volkswagen","12","peugot","11","volvo","11","dodge","9"
"fuel.type",205,0,0,2,"gas",185,"diesel",20,"","","","","","","","","","","","","","","",""
"aspiration",205,0,0,2,"std",168,"turbo",37,"","","","","","","","","","","","","","","",""
"num.of.doors",203,2,0.98,3,"four",114,"two",89,"","","","","","","","","","","","","","","",""
"body.style",205,0,0,5,"sedan",96,"hatchback",70,"wagon","25","hardtop","8","convertible","6","","","","","","","","","",""
"drive.wheels",205,0,0,3,"fwd",120,"rwd",76,"4wd","9","","","","","","","","","","","","","",""
"engine.location",205,0,0,2,"front",202,"rear",3,"","","","","","","","","","","","","","","",""
"engine.type",205,0,0,7,"ohc",148,"ohcf",15,"ohcv","13","dohc","12","l","12","rotor","4","dohcv","1","","","","","",""
"num.of.cylinders",205,0,0,7,"four",159,"six",24,"five","11","eight","5","two","4","three","1","twelve","1","","","","","",""
"fuel.system",205,0,0,8,"mpfi",94,"2bbl",66,"idi","20","1bbl","11","spdi","9","4bbl","3","mfi","1","spfi","1","","","",""
