"","non-missing","missing","missing percent","unique","mean","min","p1","p5","p10","p25","p50","p75","p90","p95","p99","max"
"symboling",205,0,0,6,0.83,-2,-1.96,-1,-1,0,1,2,3,3,3,3
"normalized.losses",164,41,20,52,122,65,65,74,83.6,94,115,150,164,188,209.58,256
"wheel.base",205,0,0,53,98.76,86.6,88.41,93.02,93.7,94.5,97,102.4,107.9,110,115.54,120.9
"length",205,0,0,75,174.05,141.1,144.82,157.14,157.3,166.3,173.2,183.1,188.8,196.36,202.48,208.1
"width",205,0,0,44,65.91,60.3,62.54,63.6,63.8,64.1,65.5,66.9,68.64,70.46,71.7,72.3
"height",205,0,0,49,53.72,47.8,48.82,49.7,50.6,52,54.1,55.5,56.62,57.5,59.1,59.8
"curb.weight",205,0,0,171,2555.57,1488,1819.72,1901,1947,2145,2414,2935,3230,3503,3948,4066
"engine.size",205,0,0,44,126.91,61,70,90,91,97,120,141,181,201.2,302.16,326
"bore",201,4,1.95,39,3.33,2.54,2.91,2.97,2.97,3.15,3.31,3.59,3.7,3.78,3.8,3.94
"stroke",201,4,1.95,37,3.26,2.07,2.19,2.64,2.87,3.11,3.29,3.41,3.54,3.64,3.9,4.17
"compression.ratio",205,0,0,32,10.14,7,7,7.5,8,8.6,9,9.4,10.94,21.82,23,23
"horsepower",203,2,0.98,60,104.26,48,52.06,62,68,70,95,116,160,181.4,207,288
"peak.rpm",203,2,0.98,24,5125.37,4150,4150,4250,4500,4800,5200,5500,5790,5990,6000,6600
"city.mpg",205,0,0,29,25.22,13,14.04,16,17,19,24,30,31.6,37,44.72,49
"highway.mpg",205,0,0,30,30.75,16,17.04,22,23,25,30,34,38,42.8,49.88,54
"price",201,4,1.95,187,13207.13,5118,5195,6189,6649,7775,10295,16500,22470,32528,40960,45400
